treatment_name,treatment_ID,category_name,description
abiyuch,1,Food & Drinks,
aboriginal medicine,2,Alternative Thearpies,
abscess root,3,Supplements,
abuta,4,Supplements,
acacia,5,Supplements,
acai,6,Supplements,
acerola,7,Supplements,
acerola,8,Food & Drinks,
acerola juice,9,Food & Drinks,
acetylcarnitine,10,Supplements,
acetyl-l-carnitine,11,Supplements,
ackee,12,Supplements,
aconite,13,Supplements,
acorn stew (apache),14,Food & Drinks,
activated charcoal,15,Supplements,
acupressure,16,Alternative Thearpies,
acupressure,17,Alternative Thearpies,
acupressure,18,Alternative Thearpies,
acupuncture,19,Alternative Thearpies,
acupuncture,20,Alternative Thearpies,
acupuncture,21,Alternative Thearpies,
adenosine,22,Supplements,
adrenal extract,23,Supplements,
adrue,24,Supplements,
african wild potato,25,Supplements,
aga,26,Supplements,
agar,27,Supplements,
agaricus mushroom,28,Supplements,
agave,29,Food & Drinks,
agrimony,30,Supplements,
agutuk,31,Food & Drinks,
ahcc,32,Supplements,
ajuga nipponensis,33,Supplements,
alanine,34,Supplements,
alchemilla,35,Supplements,
alcoholic beverage,36,Food & Drinks,
alcoholic beverages,37,Food & Drinks,
alder buckthorn,38,Supplements,
aletris,39,Supplements,
alexander technique,40,Alternative Thearpies,
alexander technique,41,Alternative Thearpies,
alfalfa,42,Supplements,
alfalfa seeds,43,Food & Drinks,
algin,44,Supplements,
alkanna,45,Supplements,
allspice,46,Supplements,
aloe,47,Supplements,
alpha hydroxy acids,48,Supplements,
alpha-gpc,49,Supplements,
alpha-gpc,50,Supplements,
alpha-ketoglutarate,51,Supplements,
alpha-linolenic acid,52,Supplements,
alpha-lipoic acid,53,Supplements,
alpine cranberry,54,Supplements,
alpine lady's mantle,55,Supplements,
alpine ragwort,56,Supplements,
alpinia,57,Supplements,
amaranth,58,Supplements,
amaranth grain,59,Food & Drinks,
amaranth leaves,60,Food & Drinks,
amatsu,61,Alternative Thearpies,
ambrette,62,Supplements,
american adder's tongue,63,Supplements,
american bittersweet,64,Supplements,
american chestnut,65,Supplements,
american dogwood,66,Supplements,
american elder,67,Supplements,
american hellebore,68,Supplements,
american ivy,69,Supplements,
american mistletoe,70,Supplements,
american pawpaw,71,Supplements,
american spikenard,72,Supplements,
american white pond lily,73,Supplements,
andiroba,74,Supplements,
andrachne,75,Supplements,
andrea's,76,Food & Drinks,
andrographis,77,Supplements,
androstenediol,78,Supplements,
androstenedione,79,Supplements,
androstenetrione,80,Supplements,
angelica,81,Supplements,
angel's trumpet,82,Supplements,
angostura,83,Supplements,
animal fat,84,Food & Drinks,
anise,85,Supplements,
annatto,86,Supplements,
apitherapy,87,Alternative Thearpies,
apple,88,Supplements,
apple cider vinegar,89,Supplements,
apple juice,90,Food & Drinks,
applebee's,91,Food & Drinks,
apples,92,Food & Drinks,
applesauce,93,Food & Drinks,
apricot,94,Supplements,
apricot kernel,95,Supplements,
apricot nectar,96,Food & Drinks,
apricot seed,97,Supplements,
apricots,98,Food & Drinks,
arby's,99,Food & Drinks,
archway home style cookies,100,Food & Drinks,
areca,101,Supplements,
arenaria rubra,102,Supplements,
aristolochia,103,Supplements,
arnica,104,Supplements,
aromatherapy,105,Alternative Thearpies,
aromatherapy,106,Alternative Thearpies,
aromatherapy•à?,107,Alternative Thearpies,
arrach,108,Supplements,
arrowhead,109,Food & Drinks,
arrowroot,110,Supplements,
arrowroot,111,Food & Drinks,
arrowroot flour,112,Food & Drinks,
arsenic,113,Supplements,
artemisia herba-alba,114,Supplements,
artichoke,115,Supplements,
artichokes,116,Food & Drinks,
artificial blueberry muffin mix,117,Food & Drinks,
arugula,118,Food & Drinks,
arum,119,Supplements,
asafoetida,120,Supplements,
asarabacca,121,Supplements,
ascidians (tunughnak) (alaska native),122,Food & Drinks,
ascorbigen,123,Supplements,
ash,124,Supplements,
ashitaba,125,Supplements,
ashwagandha,126,Supplements,
asparagus,127,Supplements,
asparagus,128,Food & Drinks,
asparagus racemosus,129,Supplements,
aspartates,130,Supplements,
aspen,131,Supplements,
astaxanthin,132,Supplements,
astragalus,133,Supplements,
atlantic cedar,134,Supplements,
atractylodes,135,Supplements,
auriculotherapy,136,Alternative Thearpies,
autogenic training•à?,137,Alternative Thearpies,
autosuggestion•à?,138,Alternative Thearpies,
autumn crocus,139,Supplements,
avens,140,Supplements,
avocado,141,Supplements,
avocado sugar extract,142,Supplements,
avocados,143,Food & Drinks,
ayurveda,144,Alternative Thearpies,
ayurvedic ,145,Alternative Thearpies,
ba ji tian,146,Supplements,
babyfood,147,Food & Drinks,
bach flower therapy,148,Alternative Thearpies,
bacillus coagulans,149,Supplements,
bacon,150,Food & Drinks,
bacon and beef sticks,151,Food & Drinks,
bacon bits,152,Food & Drinks,
bael,153,Supplements,
bagels,154,Food & Drinks,
baikal skullcap,155,Supplements,
baking chocolate,156,Food & Drinks,
balsam-pear (bitter gourd),157,Food & Drinks,
bamboo,158,Supplements,
bamboo shoots,159,Food & Drinks,
banaba,160,Supplements,
bananas,161,Food & Drinks,
banquet,162,Food & Drinks,
baobab powder,163,Food & Drinks,
barbecue loaf,164,Food & Drinks,
barley,165,Supplements,
barley,166,Food & Drinks,
barley flour or meal,167,Food & Drinks,
barley malt flour,168,Food & Drinks,
basil,169,Supplements,
basil,170,Food & Drinks,
bayberry,171,Supplements,
bean pod,172,Supplements,
beans,173,Food & Drinks,
bear,174,Food & Drinks,
bear's garlic,175,Supplements,
bee pollen,176,Supplements,
bee pollen,177,Supplements,
bee venom,178,Supplements,
beef,179,Food & Drinks,
beef composite,180,Food & Drinks,
beef macaroni with tomato sauce,181,Food & Drinks,
beef pot pie,182,Food & Drinks,
beef stew,183,Food & Drinks,
beer,184,Supplements,
beerwurst,185,Food & Drinks,
beeswax,186,Supplements,
beet,187,Supplements,
beet greens,188,Food & Drinks,
beets,189,Food & Drinks,
belladonna,190,Supplements,
benzoin,191,Supplements,
berberine,192,Supplements,
bergamot oil,193,Supplements,
beta glucans,194,Supplements,
beta-alanine,195,Supplements,
beta-carotene,196,Supplements,
betaine anhydrous,197,Supplements,
betaine hydrochloride,198,Supplements,
beta-sitosterol,199,Supplements,
beth root,200,Supplements,
betony,201,Supplements,
beverage,202,Food & Drinks,
beverages,203,Food & Drinks,
bht (butylated hydroxytoluene),204,Supplements,
bifidobacteria,205,Supplements,
bilberry,206,Supplements,
biofeedback,207,Supplements,
biofeedback,208,Alternative Thearpies,
biotin,209,Supplements,
birch,210,Supplements,
biscuits,211,Food & Drinks,
bishop's weed,212,Supplements,
bison,213,Food & Drinks,
bistort,214,Supplements,
bitter almond,215,Supplements,
bitter melon,216,Supplements,
bitter milkwort,217,Supplements,
bitter orange,218,Supplements,
bitter yam,219,Supplements,
bittersweet nightshade,220,Supplements,
black alder,221,Supplements,
black bryony,222,Supplements,
black cohosh,223,Supplements,
black currant,224,Supplements,
black haw,225,Supplements,
black hellebore,226,Supplements,
black horehound,227,Supplements,
black mulberry,228,Supplements,
black mustard,229,Supplements,
black nightshade,230,Supplements,
black pepper and white pepper,231,Supplements,
black psyllium,232,Supplements,
black raspberry,233,Supplements,
black root,234,Supplements,
black seed,235,Supplements,
black seed,236,Supplements,
black tea,237,Supplements,
black walnut,238,Supplements,
blackberries,239,Food & Drinks,
blackberry,240,Supplements,
blackberry juice,241,Food & Drinks,
blackthorn,242,Supplements,
bladderwort,243,Supplements,
bladderwrack,244,Supplements,
blessed thistle,245,Supplements,
blond psyllium,246,Supplements,
blood sausage,247,Food & Drinks,
bloodroot,248,Supplements,
blue cohosh,249,Supplements,
blue flag,250,Supplements,
blueberries,251,Food & Drinks,
blueberry,252,Supplements,
blue-green algae,253,Supplements,
bockwurst,254,Food & Drinks,
bog bilberry,255,Supplements,
bogbean,256,Supplements,
bois de rose oil,257,Supplements,
boldo,258,Supplements,
bologna,259,Food & Drinks,
boneset,260,Supplements,
borage,261,Supplements,
borage,262,Food & Drinks,
boron,263,Supplements,
bovine cartilage,264,Supplements,
bowen technique,265,Alternative Thearpies,
boxwood,266,Supplements,
boysenberries,267,Food & Drinks,
brahmi,268,Supplements,
branched chain amino acids,269,Supplements,
branched-chain amino acids,270,Supplements,
bratwurst,271,Food & Drinks,
braunschweiger (a liver sausage),272,Food & Drinks,
bread,273,Food & Drinks,
breadfruit,274,Food & Drinks,
breakfast bar,275,Food & Drinks,
breakfast bars,276,Food & Drinks,
brewer's yeast,277,Supplements,
brickellia,278,Supplements,
broadbeans,279,Food & Drinks,
broadbeans (fava beans),280,Food & Drinks,
broccoli,281,Supplements,
broccoli,282,Food & Drinks,
broccoli raab,283,Food & Drinks,
bromelain,284,Supplements,
brooklime,285,Supplements,
broom corn,286,Supplements,
brown rice,287,Supplements,
brussels sprouts,288,Food & Drinks,
bryonia,289,Supplements,
buchu,290,Supplements,
buckhorn plantain,291,Supplements,
buckwheat,292,Supplements,
buckwheat,293,Food & Drinks,
buckwheat flour,294,Food & Drinks,
buckwheat groats,295,Food & Drinks,
buffalo,296,Food & Drinks,
bugle,297,Supplements,
bugleweed,298,Supplements,
bulbous buttercup,299,Supplements,
bulgur,300,Food & Drinks,
bupleurum,301,Supplements,
burdock,302,Supplements,
burdock root,303,Food & Drinks,
burger king,304,Food & Drinks,
burning bush,305,Supplements,
burr marigold,306,Supplements,
burrito,307,Food & Drinks,
butanediol (bd),308,Supplements,
butcher's broom,309,Supplements,
butea superba,310,Supplements,
butter,311,Food & Drinks,
butter oil,312,Food & Drinks,
butter replacement,313,Food & Drinks,
butterbur,314,Supplements,
butterbur,315,Food & Drinks,
buttercup,316,Supplements,
butternut,317,Supplements,
cabbage,318,Supplements,
cabbage,319,Food & Drinks,
cade,320,Supplements,
caffeine,321,Supplements,
cajeput oil,322,Supplements,
cake,323,Food & Drinks,
calabar bean,324,Supplements,
calamint,325,Supplements,
calamus,326,Supplements,
calcium,327,Supplements,
calcium,328,Supplements,
calcium,329,Supplements,
calcium d-glucarate,330,Supplements,
calendula,331,Supplements,
california poppy,332,Supplements,
calotropis,333,Supplements,
campbell's,334,Food & Drinks,
campbell's chunky,335,Food & Drinks,
camphor,336,Supplements,
camu camu,337,Supplements,
canada balsam,338,Supplements,
canada goose,339,Food & Drinks,
canadian bacon,340,Food & Drinks,
canadian fleabane,341,Supplements,
canadian hemp,342,Supplements,
canaigre,343,Supplements,
cananga oil,344,Supplements,
candied fruit,345,Food & Drinks,
candies,346,Food & Drinks,
canella,347,Supplements,
cannabis,348,Supplements,
canthaxanthin,349,Supplements,
capers,350,Supplements,
capers,351,Food & Drinks,
capsicum,352,Supplements,
caralluma,353,Supplements,
carambola,354,Food & Drinks,
caraway,355,Supplements,
carbonated beverage,356,Food & Drinks,
cardamom,357,Supplements,
cardoon,358,Food & Drinks,
caribou,359,Food & Drinks,
carissa,360,Food & Drinks,
carlina,361,Supplements,
carnosine,362,Supplements,
carob,363,Supplements,
carob flour,364,Food & Drinks,
carqueja,365,Supplements,
carrabba's italian grill,366,Food & Drinks,
carrageenan,367,Supplements,
carrot,368,Food & Drinks,
carrot juice,369,Food & Drinks,
carrots,370,Food & Drinks,
cascara,371,Supplements,
cascarilla,372,Supplements,
casein peptides,373,Supplements,
cashew,374,Supplements,
cassava,375,Food & Drinks,
cassia auriculata,376,Supplements,
cassia cinnamon,377,Supplements,
cassia cinnamon,378,Supplements,
cassia cinnamon,379,Supplements,
cassie absolute,380,Supplements,
castor,381,Supplements,
castoreum,382,Supplements,
catechu,383,Supplements,
catnip,384,Supplements,
cat's claw,385,Supplements,
cat's foot,386,Supplements,
catsup,387,Food & Drinks,
cattail,388,Food & Drinks,
catuaba,389,Supplements,
cauliflower,390,Food & Drinks,
celeriac,391,Food & Drinks,
celery,392,Supplements,
celery,393,Food & Drinks,
celtuce,394,Food & Drinks,
centaury,395,Supplements,
cereals,396,Food & Drinks,
cereals ready-to-eat,397,Food & Drinks,
cereus,398,Supplements,
cesium,399,Supplements,
cetylated fatty acids,400,Supplements,
cha de bugre,401,Supplements,
chago mushroom tea,402,Supplements,
chamomile,403,Supplements,
chanca piedra,404,Supplements,
chaparral,405,Supplements,
chard,406,Food & Drinks,
chasteberry,407,Supplements,
chaulmoogra,408,Supplements,
chayote,409,Food & Drinks,
cheese,410,Food & Drinks,
cheese food,411,Food & Drinks,
cheese product,412,Food & Drinks,
cheese puffs and twists,413,Food & Drinks,
cheese sauce,414,Food & Drinks,
cheese spread,415,Food & Drinks,
cheese substitute,416,Food & Drinks,
cheesefurter,417,Food & Drinks,
cheken,418,Supplements,
chelated minerals,419,Supplements,
chelation therapy,420,Alternative Thearpies,
chenopodium oil,421,Supplements,
cherimoya,422,Food & Drinks,
cherokee rosehip,423,Supplements,
cherries,424,Food & Drinks,
cherry juice,425,Food & Drinks,
cherry laurel water,426,Supplements,
chervil,427,Supplements,
chewing gum,428,Food & Drinks,
chia,429,Supplements,
chicken,430,Food & Drinks,
chicken breast,431,Food & Drinks,
chicken breast tenders,432,Food & Drinks,
chicken collagen,433,Supplements,
chicken patty,434,Food & Drinks,
chicken pot pie,435,Food & Drinks,
chicken spread,436,Food & Drinks,
chicken tenders,437,Food & Drinks,
chick-fil-a,438,Food & Drinks,
chickpea flour (besan),439,Food & Drinks,
chickpeas (garbanzo beans,440,Food & Drinks,
chickweed,441,Supplements,
chicory,442,Supplements,
chicory,443,Food & Drinks,
chicory greens,444,Food & Drinks,
chicory roots,445,Food & Drinks,
chilchen (red berry beverage) (navajo),446,Food & Drinks,
child formula,447,Food & Drinks,
chili,448,Food & Drinks,
chili con carne with beans,449,Food & Drinks,
chili with beans,450,Food & Drinks,
chinese club moss,451,Supplements,
chinese cucumber,452,Supplements,
chinese herbalism,453,Alternative Thearpies,
chinese herbs,454,Supplements,
chinese mallow,455,Supplements,
chinese medicine,456,Alternative Thearpies,
chinese prickly ash,457,Supplements,
chirata,458,Supplements,
chiropractic,459,Alternative Thearpies,
chiropractic,460,Alternative Thearpies,
chiropractic,461,Alternative Thearpies,
chiton,462,Food & Drinks,
chitosan,463,Supplements,
chive,464,Supplements,
chives,465,Food & Drinks,
chlorella,466,Supplements,
chlorophyll,467,Supplements,
chlorophyllin,468,Supplements,
chocolate,469,Food & Drinks,
chocolate-flavored hazelnut spread,470,Food & Drinks,
chokecherries,471,Food & Drinks,
choline,472,Supplements,
chondroitin sulfate,473,Supplements,
chondroitin sulfate,474,Supplements,
chromium,475,Supplements,
chromium,476,Supplements,
chrysanthemum,477,Supplements,
chrysanthemum,478,Food & Drinks,
chrysanthemum leaves,479,Food & Drinks,
chrysin,480,Supplements,
chymotrypsin,481,Supplements,
ciguatera,482,Supplements,
cinchona,483,Supplements,
cinnamon bark,484,Supplements,
cinnamon buns,485,Food & Drinks,
cissus quadrangularis,486,Supplements,
citicoline,487,Supplements,
citronella oil,488,Supplements,
civet,489,Supplements,
clary sage,490,Supplements,
clematis,491,Supplements,
clementines,492,Food & Drinks,
clif z bar,493,Food & Drinks,
clivers,494,Supplements,
cloudberries,495,Food & Drinks,
clove,496,Supplements,
clown's mustard plant,497,Supplements,
club moss,498,Supplements,
cnidium,499,Supplements,
coca,500,Supplements,
cocillana,501,Supplements,
cockles,502,Food & Drinks,
cocoa,503,Supplements,
cocoa,504,Food & Drinks,
cocoa mix,505,Food & Drinks,
coconut oil,506,Supplements,
coconut oil,507,Supplements,
cod liver oil,508,Supplements,
cod liver oil,509,Supplements,
codonopsis,510,Supplements,
coenzyme q-10,511,Supplements,
coenzyme q-10,512,Supplements,
coffee,513,Supplements,
coffee charcoal,514,Supplements,
cola nut,515,Supplements,
collards,516,Food & Drinks,
colloidal minerals,517,Supplements,
colloidal silver,518,Supplements,
colocynth,519,Supplements,
colombo,520,Supplements,
colonic irrigation,521,Alternative Thearpies,
colostrum,522,Supplements,
coltsfoot,523,Supplements,
columbine,524,Supplements,
comfrey,525,Supplements,
common stonecrop,526,Supplements,
condurango,527,Supplements,
conjugated linoleic acid,528,Supplements,
continental mills,529,Food & Drinks,
contrayerva,530,Supplements,
cookie,531,Food & Drinks,
cookies,532,Food & Drinks,
coolwort,533,Supplements,
copaiba balsam,534,Supplements,
copper,535,Supplements,
coral,536,Supplements,
coral root,537,Supplements,
cordyceps,538,Supplements,
cordyceps,539,Supplements,
coriander,540,Supplements,
coriander (cilantro) leaves,541,Food & Drinks,
coriolus mushroom,542,Supplements,
corkwood tree,543,Supplements,
corn,544,Food & Drinks,
corn bran,545,Food & Drinks,
corn cockle,546,Supplements,
corn dogs,547,Food & Drinks,
corn flour,548,Food & Drinks,
corn grain,549,Food & Drinks,
corn poppy,550,Supplements,
corn pudding,551,Food & Drinks,
corn silk,552,Supplements,
corn with red and green peppers,553,Food & Drinks,
corned beef and potatoes in tortilla (apache),554,Food & Drinks,
corned beef loaf,555,Food & Drinks,
cornflower,556,Supplements,
cornmeal,557,Food & Drinks,
cornsalad,558,Food & Drinks,
cornstarch,559,Food & Drinks,
corydalis,560,Supplements,
costus,561,Supplements,
cotton,562,Supplements,
country mallow,563,Supplements,
couscous,564,Food & Drinks,
cowhage,565,Supplements,
cowpeas,566,Food & Drinks,
cowpeas (blackeyes),567,Food & Drinks,
cowslip,568,Supplements,
crabapples,569,Food & Drinks,
cracker,570,Food & Drinks,
cracker barrel,571,Food & Drinks,
crackers,572,Food & Drinks,
cramp bark,573,Supplements,
cranberries,574,Food & Drinks,
cranberry,575,Supplements,
cranberry,576,Supplements,
cranberry,577,Supplements,
cranberry,578,Food & Drinks,
cranberry juice,579,Food & Drinks,
cranberry juice blend,580,Food & Drinks,
cranberry juice cocktail,581,Food & Drinks,
cranberry sauce,582,Food & Drinks,
cranberry-orange relish,583,Food & Drinks,
craniosacral,584,Alternative Thearpies,
cream,585,Food & Drinks,
cream puff,586,Food & Drinks,
cream puff shell,587,Food & Drinks,
cream substitute,588,Food & Drinks,
creamy dressing,589,Food & Drinks,
creatine,590,Supplements,
creatine,591,Supplements,
cress,592,Food & Drinks,
croissants,593,Food & Drinks,
croton seeds,594,Supplements,
croutons,595,Food & Drinks,
crunchmaster,596,Food & Drinks,
crustaceans,597,Food & Drinks,
crystal healing,598,Alternative Thearpies,
cubebs,599,Supplements,
cucumber,600,Food & Drinks,
cudweed,601,Supplements,
cumin,602,Supplements,
cup plant,603,Supplements,
cupmoss,604,Supplements,
cupping therapy,605,Alternative Thearpies,
curcumin,606,Supplements,
currants,607,Food & Drinks,
custard-apple,608,Food & Drinks,
cyclamen,609,Supplements,
cypress,610,Supplements,
cypress spurge,611,Supplements,
daffodil,612,Supplements,
damiana,613,Supplements,
dandelion,614,Supplements,
dandelion greens,615,Food & Drinks,
danish pastry,616,Food & Drinks,
danshen,617,Supplements,
d-aspartic acid,618,Supplements,
date palm,619,Supplements,
dates,620,Food & Drinks,
deanol,621,Supplements,
deep breathing,622,Alternative Thearpies,
deep tissue bodywork,623,Alternative Thearpies,
deer (venison),624,Food & Drinks,
deer velvet,625,Supplements,
deertongue,626,Supplements,
delphinium,627,Supplements,
denny's,628,Food & Drinks,
dessert topping,629,Food & Drinks,
desserts,630,Food & Drinks,
detox,631,Alternative Thearpies,
devil's claw,632,Supplements,
devil's club,633,Supplements,
dha (docosahexaenoic acid),634,Supplements,
dhea,635,Supplements,
diacylglycerol,636,Supplements,
diathermy,637,Alternative Thearpies,
dibencozide,638,Supplements,
digiorno pizza,639,Food & Drinks,
digitalis,640,Supplements,
diindolylmethane,641,Supplements,
diiodothyronine,642,Supplements,
dill,643,Supplements,
dill weed,644,Food & Drinks,
dimethylglycine,645,Supplements,
diosmin,646,Supplements,
dip,647,Food & Drinks,
divi-divi,648,Supplements,
diviner's sage,649,Supplements,
d-mannose,650,Supplements,
dmso (dimethylsulfoxide),651,Supplements,
dock,652,Food & Drinks,
dodder,653,Supplements,
dolomite,654,Supplements,
"domino's 14"" cheese pizza",655,Food & Drinks,
"domino's 14"" extravaganzza feast pizza",656,Food & Drinks,
"domino's 14"" pepperoni pizza",657,Food & Drinks,
"domino's 14"" sausage pizza",658,Food & Drinks,
dong quai,659,Supplements,
doughnuts,660,Food & Drinks,
dove,661,Food & Drinks,
dragon's blood,662,Supplements,
dream,663,Alternative Thearpies,
dressing,664,Food & Drinks,
drumstick leaves,665,Food & Drinks,
drumstick pods,666,Food & Drinks,
drumstick tree,667,Supplements,
duck,668,Food & Drinks,
duckweed,669,Supplements,
dulce de leche,670,Food & Drinks,
dumpling,671,Food & Drinks,
durian,672,Food & Drinks,
dusty miller,673,Supplements,
dutch brand loaf,674,Food & Drinks,
dwarf elder,675,Supplements,
dwarf pine needle,676,Supplements,
dyer's broom,677,Supplements,
ear candling,678,Alternative Thearpies,
ear candling,679,Alternative Thearpies,
eastern red cedar,680,Supplements,
ecdysterone,681,Supplements,
echinacea,682,Supplements,
echinacea,683,Supplements,
echinacea,684,Supplements,
edamame,685,Food & Drinks,
edta,686,Supplements,
egg,687,Food & Drinks,
egg custards,688,Food & Drinks,
egg rolls,689,Food & Drinks,
egg substitute,690,Food & Drinks,
eggnog,691,Food & Drinks,
eggplant,692,Food & Drinks,
eggs,693,Food & Drinks,
elderberries,694,Food & Drinks,
elderberry,695,Supplements,
elderflower,696,Supplements,
elecampane,697,Supplements,
electromagnetic therapy,698,Alternative Thearpies,
elemi,699,Supplements,
elk,700,Food & Drinks,
ellagic acid,701,Supplements,
elm bark,702,Supplements,
emu,703,Food & Drinks,
emu oil,704,Supplements,
endive,705,Food & Drinks,
enemas,706,Alternative Thearpies,
energy medicine,707,Alternative Thearpies,
english adder's tongue,708,Supplements,
english horsemint,709,Supplements,
english ivy,710,Supplements,
english muffins,711,Food & Drinks,
english walnut,712,Supplements,
enzyme therapy,713,Alternative Thearpies,
enzyme therapy,714,Alternative Thearpies,
epa (eicosapentaenoic acid),715,Supplements,
epazote,716,Food & Drinks,
ephedra,717,Supplements,
ephedra,718,Supplements,
epimedium,719,Supplements,
eppaw,720,Food & Drinks,
ergot,721,Supplements,
ergothioneine,722,Supplements,
eryngo,723,Supplements,
escarole,724,Food & Drinks,
essential fatty acid,725,Supplements,
essiac,726,Supplements,
eucalyptus,727,Supplements,
euphorbia,728,Supplements,
european barberry,729,Supplements,
european buckthorn,730,Supplements,
european chestnut,731,Supplements,
european five-finger grass,732,Supplements,
european mandrake,733,Supplements,
european mistletoe,734,Supplements,
eurycoma longifolia,735,Supplements,
evening primrose oil,736,Supplements,
evening primrose oil,737,Supplements,
evodia,738,Supplements,
eyebright,739,Supplements,
fadogia agrestis,740,Supplements,
falafel,741,Food & Drinks,
false unicorn,742,Supplements,
fast food,743,Food & Drinks,
fast foods,744,Food & Drinks,
fat,745,Food & Drinks,
fat free ice cream,746,Food & Drinks,
feijoa,747,Food & Drinks,
feldenkrais method,748,Alternative Thearpies,
feng shui,749,Alternative Thearpies,
fennel,750,Supplements,
fennel,751,Food & Drinks,
fenugreek,752,Supplements,
fever bark,753,Supplements,
feverfew,754,Supplements,
ficin,755,Supplements,
fiddlehead ferns,756,Food & Drinks,
field scabious,757,Supplements,
fig,758,Supplements,
figs,759,Food & Drinks,
figwort,760,Supplements,
fir,761,Supplements,
fireweed,762,Supplements,
fireweed,763,Food & Drinks,
fish,764,Food & Drinks,
fish broth,765,Food & Drinks,
fish oil,766,Supplements,
fish oil,767,Supplements,
fish oil,768,Supplements,
fish oil,769,Supplements,
fish oil,770,Food & Drinks,
flan,771,Food & Drinks,
flax seed,772,Supplements,
flaxseed,773,Supplements,
flaxseed oil,774,Supplements,
flaxseed oil,775,Supplements,
flower essences,776,Alternative Thearpies,
fluid replacement,777,Food & Drinks,
fluoride,778,Supplements,
focaccia,779,Food & Drinks,
folic acid,780,Supplements,
